iter	Passed	Remaining
0	2	208
1	3	189
2	5	188
3	7	175
4	9	172
5	10	168
6	12	170
7	14	167
8	16	165
9	17	161
10	19	157
11	21	158
12	23	156
13	25	154
14	26	152
15	28	148
16	29	145
17	30	141
18	32	137
19	33	134
20	35	132
21	36	129
22	37	124
23	37	119
24	38	115
25	39	111
26	39	108
27	40	104
28	41	101
29	41	97
30	42	94
31	43	91
32	43	88
33	44	86
34	45	83
35	45	81
36	46	78
37	46	76
38	47	74
39	48	72
40	48	70
41	49	67
42	49	66
43	50	64
44	51	62
45	52	61
46	52	59
47	53	57
48	53	56
49	54	54
50	55	53
51	56	51
52	56	50
53	57	48
54	57	47
55	58	45
56	59	44
57	59	43
58	60	42
59	61	40
60	61	39
61	62	38
62	63	37
63	63	35
64	64	34
65	65	33
66	66	32
67	67	31
68	68	30
69	68	29
70	69	28
71	70	27
72	70	26
73	71	25
74	72	24
75	72	23
76	73	22
77	74	20
78	75	19
79	75	18
80	76	18
81	77	17
82	78	16
83	79	15
84	79	14
85	80	13
86	81	12
87	82	11
88	83	10
89	83	9
90	84	8
91	85	7
92	86	6
93	86	5
94	87	4
95	88	3
96	89	2
97	90	1
98	90	0
99	91	0
