iter	Passed	Remaining
0	161	161278
1	162	80960
2	163	54191
3	164	40910
4	165	32911
5	166	27575
6	167	23705
7	167	20790
8	168	18559
9	169	16750
10	170	15296
11	175	14409
12	176	13421
13	177	12514
14	179	11757
15	179	11063
16	180	10441
17	181	9894
18	182	9400
19	182	8954
20	184	8609
21	190	8462
22	191	8140
23	194	7895
24	195	7609
25	195	7340
26	197	7106
27	197	6868
28	198	6643
29	199	6451
30	204	6384
31	207	6275
32	209	6131
33	209	5966
34	210	5812
35	211	5668
36	212	5528
37	213	5402
38	218	5379
39	219	5271
40	221	5192
41	224	5110
42	224	5003
43	225	4903
44	226	4805
45	227	4710
46	227	4619
47	228	4533
48	233	4537
49	235	4466
50	237	4411
51	238	4340
52	238	4268
53	239	4197
54	240	4132
55	241	4069
56	242	4006
57	243	3951
58	246	3929
59	247	3879
60	249	3836
61	250	3790
62	251	3740
63	252	3690
64	253	3641
65	254	3601
66	255	3554
67	261	3581
68	264	3567
69	265	3529
70	266	3491
71	268	3458
72	269	3427
73	277	3470
74	281	3473
75	282	3435
76	283	3398
77	284	3361
78	285	3324
79	286	3289
80	286	3251
81	287	3215
82	289	3203
83	291	3174
84	294	3170
85	295	3140
86	296	3108
87	297	3078
88	298	3052
89	298	3021
90	299	2991
91	300	2969
92	306	2991
93	309	2982
94	310	2960
95	312	2940
96	314	2930
97	320	2947
98	321	2927
99	323	2914
100	324	2892
101	325	2868
102	326	2845
103	327	2824
104	328	2802
105	329	2783
106	335	2797
107	336	2778
108	338	2766
109	339	2749
110	340	2729
111	341	2709
112	342	2691
113	344	2675
114	345	2655
115	349	2663
116	350	2647
117	351	2629
118	352	2610
119	355	2607
120	356	2590
121	357	2573
122	358	2556
123	359	2539
124	360	2525
125	362	2515
126	363	2501
127	367	2501
128	369	2492
129	384	2570
130	385	2558
131	387	2547
132	394	2572
133	399	2583
134	401	2572
135	403	2565
136	409	2580
137	411	2567
138	415	2570
139	416	2561
140	418	2548
141	419	2532
142	420	2519
143	424	2526
144	426	2516
